pattern	epoch_4_batch_3000_gen	freq_gen	model	epoch_4_batch_4000_gen	epoch_10_gen	epoch_4_batch_5000_gen	epoch_11_gen	epoch_12_gen	epoch_4_batch_6000_gen	epoch_13_gen	epoch_4_batch_7000_gen	epoch_14_gen	epoch_4_batch_8000_gen	epoch_15_gen	epoch_4_batch_9000_gen	epoch_16_gen	epoch_5_batch_0_gen	epoch_17_gen	epoch_18_gen	epoch_5_batch_10000_gen	epoch_19_gen	epoch_5_batch_1000_gen	epoch_1_batch_0_gen	epoch_5_batch_11000_gen	epoch_1_batch_10000_gen	epoch_5_batch_12000_gen	epoch_1_batch_1000_gen	epoch_5_batch_13000_gen	epoch_1_batch_11000_gen	epoch_1_batch_12000_gen	epoch_5_batch_14000_gen	epoch_1_batch_13000_gen	epoch_5_batch_15000_gen	epoch_1_batch_14000_gen	epoch_5_batch_16000_gen	epoch_1_batch_15000_gen	epoch_5_batch_17000_gen	epoch_1_batch_16000_gen	epoch_5_batch_18000_gen	epoch_1_batch_17000_gen	epoch_1_batch_18000_gen	epoch_5_batch_2000_gen	epoch_1_batch_2000_gen	epoch_5_batch_3000_gen	epoch_1_batch_3000_gen	epoch_5_batch_4000_gen	epoch_1_batch_4000_gen	epoch_5_batch_5000_gen	epoch_1_batch_5000_gen	epoch_5_batch_6000_gen	epoch_1_batch_6000_gen	epoch_5_batch_7000_gen	epoch_1_batch_7000_gen	epoch_1_batch_8000_gen	epoch_1_batch_9000_gen	epoch_20_gen	epoch_21_gen	epoch_22_gen	epoch_23_gen	epoch_24_gen	epoch_25_gen	epoch_26_gen	epoch_27_gen	epoch_28_gen	epoch_29_gen	epoch_2_batch_0_gen	epoch_2_batch_10000_gen	epoch_2_batch_1000_gen	epoch_2_batch_11000_gen	epoch_2_batch_12000_gen	epoch_2_batch_13000_gen	epoch_2_batch_14000_gen	epoch_2_batch_15000_gen	epoch_2_batch_16000_gen	epoch_2_batch_17000_gen	epoch_2_batch_18000_gen	epoch_2_batch_2000_gen	epoch_2_batch_3000_gen	epoch_2_batch_4000_gen	epoch_2_batch_5000_gen	epoch_2_batch_6000_gen	epoch_2_batch_7000_gen	epoch_2_batch_8000_gen	epoch_2_batch_9000_gen	epoch_30_gen	epoch_31_gen	epoch_32_gen	epoch_33_gen	epoch_34_gen	epoch_35_gen	epoch_36_gen	epoch_37_gen	epoch_38_gen	epoch_39_gen	epoch_3_batch_0_gen	epoch_3_batch_10000_gen	epoch_3_batch_1000_gen	epoch_3_batch_11000_gen	epoch_3_batch_12000_gen	epoch_3_batch_13000_gen	epoch_3_batch_14000_gen	epoch_3_batch_15000_gen	epoch_3_batch_16000_gen	epoch_3_batch_17000_gen	epoch_3_batch_18000_gen	epoch_3_batch_2000_gen	epoch_3_batch_3000_gen	epoch_3_batch_4000_gen	epoch_3_batch_5000_gen	epoch_3_batch_6000_gen	epoch_3_batch_7000_gen	epoch_3_batch_8000_gen	epoch_3_batch_9000_gen	epoch_40_gen	epoch_4_batch_0_gen	epoch_4_batch_10000_gen	epoch_4_batch_1000_gen	epoch_4_batch_11000_gen	epoch_4_batch_12000_gen	epoch_4_batch_13000_gen	epoch_4_batch_14000_gen	epoch_4_batch_15000_gen	epoch_4_batch_16000_gen	epoch_4_batch_17000_gen	epoch_4_batch_18000_gen	epoch_4_batch_2000_gen	epoch_5_batch_8000_gen	epoch_5_batch_9000_gen	epoch_6_gen	epoch_7_gen	epoch_8_gen	epoch_9_gen
L__NOUN_VERB_VERB		30.22222222222222	freq																																																																																																													30.666666666666668																				
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq																																																																																																													59.02777777777778																				
L__NOUN_VERB_VERB		30.22222222222222	freq																																																																																																														36.888888888888886																			
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq																																																																																																														57.638888888888886																			
L__NOUN_VERB_VERB		30.22222222222222	freq																																																																																																															36.888888888888886																		
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq																																																																																																															57.638888888888886																		
L__NOUN_VERB_VERB		30.22222222222222	freq																																																																																																																31.11111111111111																	
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq																																																																																																																56.94444444444444																	
L__NOUN_VERB_VERB		30.22222222222222	freq																																																																																																																	34.22222222222222																
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq																																																																																																																	55.55555555555556																
L__NOUN_VERB_VERB		30.22222222222222	freq																																																																																																																		31.555555555555557															
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq																																																																																																																		59.72222222222222															
L__NOUN_VERB_VERB		30.22222222222222	freq																																																																																																																			33.333333333333336														
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq																																																																																																																			59.02777777777778														
L__NOUN_VERB_VERB		30.22222222222222	freq																																																																																																																				31.555555555555557													
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq																																																																																																																				59.02777777777778													
L__NOUN_VERB_VERB		30.22222222222222	freq																																																																																																																					37.77777777777778												
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq																																																																																																																					56.25												
L__NOUN_VERB_VERB		30.22222222222222	freq																																																																																																																						32.44444444444444											
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq																																																																																																																						58.333333333333336											
L__NOUN_VERB_VERB		30.22222222222222	freq																																																																																																																							29.77777777777778										
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq																																																																																																																							60.416666666666664										
L__NOUN_VERB_VERB		30.22222222222222	freq																																																																																																																								32.0									
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq																																																																																																																								60.416666666666664									
L__NOUN_VERB_VERB		30.22222222222222	freq																																																																																																																									35.111111111111114								
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq																																																																																																																									59.02777777777778								
L__NOUN_VERB_VERB		30.22222222222222	freq																																																																																																																										34.22222222222222							
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq																																																																																																																										57.638888888888886							
L__NOUN_VERB_VERB		30.22222222222222	freq																																																																																																																											32.0						
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq																																																																																																																											58.333333333333336						
L__NOUN_VERB_VERB		30.22222222222222	freq																																																																																																																												39.55555555555556					
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq																																																																																																																												58.333333333333336					
L__NOUN_VERB_VERB		30.22222222222222	freq																																																																																																																													36.44444444444444				
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq																																																																																																																													58.333333333333336				
L__NOUN_VERB_VERB		30.22222222222222	freq																																																																																																																														40.0			
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq																																																																																																																														56.25			
L__NOUN_VERB_VERB		30.22222222222222	freq																																																																																																																															50.22222222222222		
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq																																																																																																																															45.138888888888886		
L__NOUN_VERB_VERB		30.22222222222222	freq																																																																																																																																36.888888888888886	
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq																																																																																																																																56.25	
L__NOUN_VERB_VERB		30.22222222222222	freq																																																																																																																																	37.77777777777778
R__VERB_NOUN_CCONJ_VERB		61.80555555555556	freq																																																																																																																																	54.861111111111114
